Item_Code,Primary_Item_Code
2511,2511
2513,2513
2514,2514
2515,2515
2516,2516
2517,2517
2518,2518
2520,2520
2531,2531
2532,2532
2533,2533
2534,2534
2535,2535
2536,2545
2537,2545
2541,2545
2542,2545
2543,2545
2544,2545
2546,2546
2547,2547
2549,2549
2551,2551
2555,2555
2556,2556
2557,2557
2558,2558
2559,2559
2560,2560
2561,2561
2562,2562
2563,2563
2570,2570
2571,2555
2572,2556
2573,2557
2574,2558
2575,2559
2576,2562
2577,2562
2578,2560
2579,2561
2580,2563
2581,2804
2582,2514
2586,2570
2590,2555
2591,2556
2592,2557
2593,2558
2594,2559
2595,2562
2596,2560
2597,2561
2598,2570
2601,2601
2602,2602
2605,2605
2611,2611
2612,2612
2613,2613
2614,2614
2615,2615
2616,2616
2617,2617
2618,2618
2619,2619
2620,2620
2625,2625
2630,2630
2633,2633
2635,2635
2640,2640
2641,2641
2642,2642
2645,2645
2655,2620
2656,2513
2661,2559
2662,2662
2663,2663
2664,2664
2665,2665
2666,2666
2667,2667
2671,2671
2672,2672
2731,2731
2732,2732
2733,2733
2734,2734
2735,2735
2736,2736
2740,2848
2743,2848
2744,2744
2745,2745
2746,2746
2747,2747
2748,2748
2804,2804
2848,2848
2658,2545
2659,2545
