Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2198","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3399","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3496","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2389","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2408","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3341","E","Estimated value"
"FBS","Food Balances (2010-)","051","Armenia","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3217","E","Estimated value"
"FBS","Food Balances (2010-)","036","Australia","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3454","E","Estimated value"
"FBS","Food Balances (2010-)","040","Austria","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3819","E","Estimated value"
"FBS","Food Balances (2010-)","031","Azerbaijan","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3384","E","Estimated value"
"FBS","Food Balances (2010-)","044","Bahamas","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2573","E","Estimated value"
"FBS","Food Balances (2010-)","048","Bahrain","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3488","E","Estimated value"
"FBS","Food Balances (2010-)","050","Bangladesh","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2614","E","Estimated value"
"FBS","Food Balances (2010-)","052","Barbados","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3174","E","Estimated value"
"FBS","Food Balances (2010-)","112","Belarus","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3320","E","Estimated value"
"FBS","Food Balances (2010-)","056","Belgium","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3892","E","Estimated value"
"FBS","Food Balances (2010-)","084","Belize","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2849","E","Estimated value"
