Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","004","Afghanistan","511","Total Population - Both sexes","S2501","Population","2017","2017","1000 No","35643.42","X","Figure from international organizations"
"FBS","Food Balances (2010-)","004","Afghanistan","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","36686.78","X","Figure from international organizations"
"FBS","Food Balances (2010-)","004","Afghanistan","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","37769.5","X","Figure from international organizations"
"FBS","Food Balances (2010-)","004","Afghanistan","511","Total Population - Both sexes","S2501","Population","2020","2020","1000 No","38972.23","X","Figure from international organizations"
"FBS","Food Balances (2010-)","004","Afghanistan","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","40099.46","X","Figure from international organizations"
"FBS","Food Balances (2010-)","008","Albania","511","Total Population - Both sexes","S2501","Population","2017","2017","1000 No","2879.36","X","Figure from international organizations"
"FBS","Food Balances (2010-)","008","Albania","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","2877.01","X","Figure from international organizations"
"FBS","Food Balances (2010-)","008","Albania","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","2873.88","X","Figure from international organizations"
"FBS","Food Balances (2010-)","008","Albania","511","Total Population - Both sexes","S2501","Population","2020","2020","1000 No","2866.85","X","Figure from international organizations"
"FBS","Food Balances (2010-)","008","Albania","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","2854.71","X","Figure from international organizations"
"FBS","Food Balances (2010-)","012","Algeria","511","Total Population - Both sexes","S2501","Population","2017","2017","1000 No","41136.55","X","Figure from international organizations"
"FBS","Food Balances (2010-)","012","Algeria","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","41927.01","X","Figure from international organizations"
"FBS","Food Balances (2010-)","012","Algeria","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","42705.37","X","Figure from international organizations"
"FBS","Food Balances (2010-)","012","Algeria","511","Total Population - Both sexes","S2501","Population","2020","2020","1000 No","43451.67","X","Figure from international organizations"
"FBS","Food Balances (2010-)","012","Algeria","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","44177.97","X","Figure from international organizations"
"FBS","Food Balances (2010-)","024","Angola","511","Total Population - Both sexes","S2501","Population","2017","2017","1000 No","30208.63","X","Figure from international organizations"
"FBS","Food Balances (2010-)","024","Angola","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","31273.53","X","Figure from international organizations"
"FBS","Food Balances (2010-)","024","Angola","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","32353.59","X","Figure from international organizations"
"FBS","Food Balances (2010-)","024","Angola","511","Total Population - Both sexes","S2501","Population","2020","2020","1000 No","33428.49","X","Figure from international organizations"
"FBS","Food Balances (2010-)","024","Angola","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","34503.77","X","Figure from international organizations"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","511","Total Population - Both sexes","S2501","Population","2017","2017","1000 No","91.12","X","Figure from international organizations"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","91.63","X","Figure from international organizations"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","92.12","X","Figure from international organizations"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","511","Total Population - Both sexes","S2501","Population","2020","2020","1000 No","92.66","X","Figure from international organizations"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","93.22","X","Figure from international organizations"
"FBS","Food Balances (2010-)","032","Argentina","511","Total Population - Both sexes","S2501","Population","2017","2017","1000 No","44054.62","X","Figure from international organizations"
"FBS","Food Balances (2010-)","032","Argentina","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","44413.6","X","Figure from international organizations"
"FBS","Food Balances (2010-)","032","Argentina","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","44745.52","X","Figure from international organizations"
"FBS","Food Balances (2010-)","032","Argentina","511","Total Population - Both sexes","S2501","Population","2020","2020","1000 No","45036.03","X","Figure from international organizations"
"FBS","Food Balances (2010-)","032","Argentina","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","45276.78","X","Figure from international organizations"
"FBS","Food Balances (2010-)","051","Armenia","511","Total Population - Both sexes","S2501","Population","2017","2017","1000 No","2851.92","X","Figure from international organizations"
"FBS","Food Balances (2010-)","051","Armenia","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","2836.56","X","Figure from international organizations"
"FBS","Food Balances (2010-)","051","Armenia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","2820.6","X","Figure from international organizations"
"FBS","Food Balances (2010-)","051","Armenia","511","Total Population - Both sexes","S2501","Population","2020","2020","1000 No","2805.61","X","Figure from international organizations"
"FBS","Food Balances (2010-)","051","Armenia","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","2790.97","X","Figure from international organizations"
"FBS","Food Balances (2010-)","036","Australia","511","Total Population - Both sexes","S2501","Population","2017","2017","1000 No","24590.33","X","Figure from international organizations"
"FBS","Food Balances (2010-)","036","Australia","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","24979.23","X","Figure from international organizations"
"FBS","Food Balances (2010-)","036","Australia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","25357.17","X","Figure from international organizations"
"FBS","Food Balances (2010-)","036","Australia","511","Total Population - Both sexes","S2501","Population","2020","2020","1000 No","25670.05","X","Figure from international organizations"
"FBS","Food Balances (2010-)","036","Australia","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","25921.09","X","Figure from international organizations"
"FBS","Food Balances (2010-)","040","Austria","511","Total Population - Both sexes","S2501","Population","2017","2017","1000 No","8797.5","X","Figure from international organizations"
"FBS","Food Balances (2010-)","040","Austria","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","8840.51","X","Figure from international organizations"
"FBS","Food Balances (2010-)","040","Austria","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","8879.94","X","Figure from international organizations"
"FBS","Food Balances (2010-)","040","Austria","511","Total Population - Both sexes","S2501","Population","2020","2020","1000 No","8907.78","X","Figure from international organizations"
"FBS","Food Balances (2010-)","040","Austria","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","8922.08","X","Figure from international organizations"
"FBS","Food Balances (2010-)","031","Azerbaijan","511","Total Population - Both sexes","S2501","Population","2017","2017","1000 No","10071.57","X","Figure from international organizations"
"FBS","Food Balances (2010-)","031","Azerbaijan","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","10152.52","X","Figure from international organizations"
"FBS","Food Balances (2010-)","031","Azerbaijan","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","10232.75","X","Figure from international organizations"
"FBS","Food Balances (2010-)","031","Azerbaijan","511","Total Population - Both sexes","S2501","Population","2020","2020","1000 No","10284.95","X","Figure from international organizations"
"FBS","Food Balances (2010-)","031","Azerbaijan","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","10312.99","X","Figure from international organizations"
"FBS","Food Balances (2010-)","044","Bahamas","511","Total Population - Both sexes","S2501","Population","2017","2017","1000 No","399.02","X","Figure from international organizations"
"FBS","Food Balances (2010-)","044","Bahamas","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","401.91","X","Figure from international organizations"
"FBS","Food Balances (2010-)","044","Bahamas","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","404.56","X","Figure from international organizations"
"FBS","Food Balances (2010-)","044","Bahamas","511","Total Population - Both sexes","S2501","Population","2020","2020","1000 No","406.47","X","Figure from international organizations"
"FBS","Food Balances (2010-)","044","Bahamas","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","407.91","X","Figure from international organizations"
"FBS","Food Balances (2010-)","048","Bahrain","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","1494.19","X","Figure from international organizations"
