ISO3,item_name,band_name,data_mean,data_mean_sem,unit,pixel_count,physical_area_km2
AFG,PIGE,median,,,tonnes carbon per km2,,
GBR,PIGE,median,,,tonnes carbon per km2,,
ALB,PIGE,median,,,tonnes carbon per km2,,
DZA,PIGE,median,,,tonnes carbon per km2,,
USA,PIGE,median,0.4153288560853943,0.06098000124330116,tonnes carbon per km2,6.0,1.0369999980926514
ATA,PIGE,median,,,tonnes carbon per km2,,
ATG,PIGE,median,,,tonnes carbon per km2,,
ARG,PIGE,median,,,tonnes carbon per km2,,
AND,PIGE,median,,,tonnes carbon per km2,,
AGO,PIGE,median,1.599664306640625,0.0,tonnes carbon per km2,1.0,0.005
ARM,PIGE,median,,,tonnes carbon per km2,,
NLD,PIGE,median,,,tonnes carbon per km2,,
AUS,PIGE,median,,,tonnes carbon per km2,,
AUT,PIGE,median,,,tonnes carbon per km2,,
AZE,PIGE,median,,,tonnes carbon per km2,,
BHS,PIGE,median,,,tonnes carbon per km2,,
BRB,PIGE,median,,,tonnes carbon per km2,,
BLR,PIGE,median,,,tonnes carbon per km2,,
BEL,PIGE,median,,,tonnes carbon per km2,,
BLZ,PIGE,median,,,tonnes carbon per km2,,
BTN,PIGE,median,0.08312756994155023,0.005799050001146054,tonnes carbon per km2,2.0,0.04600000098347664
BOL,PIGE,median,,,tonnes carbon per km2,,
BIH,PIGE,median,,,tonnes carbon per km2,,
BWA,PIGE,median,,,tonnes carbon per km2,,
NOR,PIGE,median,,,tonnes carbon per km2,,
COL,PIGE,median,0.772955907002831,0.1656574496755458,tonnes carbon per km2,75.0,15.830999913215637
COM,PIGE,median,,,tonnes carbon per km2,,
BRA,PIGE,median,0.0,,tonnes carbon per km2,5.0,0.0
FRA,PIGE,median,,,tonnes carbon per km2,,
COD,PIGE,median,0.13615831952730517,0.015115431047958325,tonnes carbon per km2,12000.0,113.09500030845403
COG,PIGE,median,0.0031755151154131,0.007460771266511614,tonnes carbon per km2,5.0,0.024000000506639484
NZL,PIGE,median,,,tonnes carbon per km2,,
BRN,PIGE,median,,,tonnes carbon per km2,,
BGR,PIGE,median,,,tonnes carbon per km2,,
BFA,PIGE,median,,,tonnes carbon per km2,,
BDI,PIGE,median,0.11361985119148565,0.024015958608912747,tonnes carbon per km2,200.0,25.386999950930477
CPV,PIGE,median,,,tonnes carbon per km2,,
KHM,PIGE,median,,,tonnes carbon per km2,,
CMR,PIGE,median,,,tonnes carbon per km2,,
CAN,PIGE,median,,,tonnes carbon per km2,,
CRI,PIGE,median,,,tonnes carbon per km2,,
CIV,PIGE,median,,,tonnes carbon per km2,,
HRV,PIGE,median,,,tonnes carbon per km2,,
CUB,PIGE,median,,,tonnes carbon per km2,,
CAF,PIGE,median,,,tonnes carbon per km2,,
TCD,PIGE,median,,,tonnes carbon per km2,,
CHL,PIGE,median,,,tonnes carbon per km2,,
CHN,PIGE,median,0.0,,tonnes carbon per km2,10.0,0.0
CYP,PIGE,median,,,tonnes carbon per km2,,
CZE,PIGE,median,,,tonnes carbon per km2,,
DNK,PIGE,median,,,tonnes carbon per km2,,
DJI,PIGE,median,,,tonnes carbon per km2,,
DMA,PIGE,median,,,tonnes carbon per km2,,
DOM,PIGE,median,1.0009428571115286,0.022120686497305433,tonnes carbon per km2,549.0,213.28399979390204
ECU,PIGE,median,,,tonnes carbon per km2,,
EGY,PIGE,median,,,tonnes carbon per km2,,
SLV,PIGE,median,,,tonnes carbon per km2,,
GNQ,PIGE,median,,,tonnes carbon per km2,,
ERI,PIGE,median,,,tonnes carbon per km2,,
EST,PIGE,median,,,tonnes carbon per km2,,
ETH,PIGE,median,,,tonnes carbon per km2,,
FJI,PIGE,median,,,tonnes carbon per km2,,
FIN,PIGE,median,,,tonnes carbon per km2,,
GAB,PIGE,median,,,tonnes carbon per km2,,
GMB,PIGE,median,,,tonnes carbon per km2,,
MAR,PIGE,median,,,tonnes carbon per km2,,
MOZ,PIGE,median,0.17895958595838626,0.09577930259179714,tonnes carbon per km2,6.0,12.122000122070311
NAM,PIGE,median,,,tonnes carbon per km2,,
GEO,PIGE,median,,,tonnes carbon per km2,,
DEU,PIGE,median,,,tonnes carbon per km2,,
GHA,PIGE,median,,,tonnes carbon per km2,,
GRC,PIGE,median,,,tonnes carbon per km2,,
GRL,PIGE,median,,,tonnes carbon per km2,,
GRD,PIGE,median,,,tonnes carbon per km2,,
NRU,PIGE,median,,,tonnes carbon per km2,,
GTM,PIGE,median,,,tonnes carbon per km2,,
NPL,PIGE,median,0.15520580929570865,0.013058093070274605,tonnes carbon per km2,896.0,167.2590003398061
GIN,PIGE,median,,,tonnes carbon per km2,,
GNB,PIGE,median,,,tonnes carbon per km2,,
GUY,PIGE,median,,,tonnes carbon per km2,,
HTI,PIGE,median,0.3827487511436313,0.01236533207621046,tonnes carbon per km2,313.0,296.8069978857041
JOR,PIGE,median,,,tonnes carbon per km2,,
HND,PIGE,median,,,tonnes carbon per km2,,
HUN,PIGE,median,,,tonnes carbon per km2,,
ISL,PIGE,median,,,tonnes carbon per km2,,
IDN,PIGE,median,,,tonnes carbon per km2,,
IRN,PIGE,median,,,tonnes carbon per km2,,
IRQ,PIGE,median,,,tonnes carbon per km2,,
IRL,PIGE,median,,,tonnes carbon per km2,,
KAZ,PIGE,median,,,tonnes carbon per km2,,
KEN,PIGE,median,0.09010170039222806,0.011190916157987285,tonnes carbon per km2,1092.0,1317.931000277251
KIR,PIGE,median,,,tonnes carbon per km2,,
PRK,PIGE,median,,,tonnes carbon per km2,,
KOR,PIGE,median,,,tonnes carbon per km2,,
XKX,PIGE,median,,,tonnes carbon per km2,,
SRB,PIGE,median,,,tonnes carbon per km2,,
SYC,PIGE,median,,,tonnes carbon per km2,,
SLE,PIGE,median,,,tonnes carbon per km2,,
SGP,PIGE,median,,,tonnes carbon per km2,,
ITA,PIGE,median,,,tonnes carbon per km2,,
JAM,PIGE,median,0.46050757003137643,0.02221238057957282,tonnes carbon per km2,131.0,5.425999992191791
JPN,PIGE,median,,,tonnes carbon per km2,,
KGZ,PIGE,median,,,tonnes carbon per km2,,
LAO,PIGE,median,,,tonnes carbon per km2,,
LVA,PIGE,median,,,tonnes carbon per km2,,
LBN,PIGE,median,,,tonnes carbon per km2,,
LSO,PIGE,median,,,tonnes carbon per km2,,
LBR,PIGE,median,,,tonnes carbon per km2,,
LBY,PIGE,median,,,tonnes carbon per km2,,
LIE,PIGE,median,,,tonnes carbon per km2,,
LTU,PIGE,median,,,tonnes carbon per km2,,
LUX,PIGE,median,,,tonnes carbon per km2,,
MCO,PIGE,median,,,tonnes carbon per km2,,
MNG,PIGE,median,,,tonnes carbon per km2,,
MNE,PIGE,median,,,tonnes carbon per km2,,
MKD,PIGE,median,,,tonnes carbon per km2,,
MDG,PIGE,median,,,tonnes carbon per km2,,
MWI,PIGE,median,0.10317571413558109,0.013940450883718817,tonnes carbon per km2,1032.0,2506.180002480969
MYS,PIGE,median,,,tonnes carbon per km2,,
MDV,PIGE,median,,,tonnes carbon per km2,,
MLI,PIGE,median,,,tonnes carbon per km2,,
MLT,PIGE,median,,,tonnes carbon per km2,,
MHL,PIGE,median,,,tonnes carbon per km2,,
MRT,PIGE,median,,,tonnes carbon per km2,,
MUS,PIGE,median,,,tonnes carbon per km2,,
MEX,PIGE,median,,,tonnes carbon per km2,,
FSM,PIGE,median,,,tonnes carbon per km2,,
MDA,PIGE,median,,,tonnes carbon per km2,,
NIC,PIGE,median,,,tonnes carbon per km2,,
OMN,PIGE,median,,,tonnes carbon per km2,,
PAK,PIGE,median,0.024244879656501753,0.006613902941822044,tonnes carbon per km2,68.0,0.16800000250339509
PLW,PIGE,median,,,tonnes carbon per km2,,
PAN,PIGE,median,0.5349291030875101,0.017098620270007997,tonnes carbon per km2,462.0,39.09799996361137
PNG,PIGE,median,,,tonnes carbon per km2,,
PRY,PIGE,median,,,tonnes carbon per km2,,
PER,PIGE,median,,,tonnes carbon per km2,,
PHL,PIGE,median,0.13833783827568202,0.017106800577949235,tonnes carbon per km2,2275.0,4.112000024169683
POL,PIGE,median,,,tonnes carbon per km2,,
PRT,PIGE,median,,,tonnes carbon per km2,,
ROU,PIGE,median,,,tonnes carbon per km2,,
RUS,PIGE,median,,,tonnes carbon per km2,,
RWA,PIGE,median,,,tonnes carbon per km2,,
WSM,PIGE,median,,,tonnes carbon per km2,,
SMR,PIGE,median,,,tonnes carbon per km2,,
TON,PIGE,median,,,tonnes carbon per km2,,
TTO,PIGE,median,0.3138995107290007,0.02963041065499828,tonnes carbon per km2,55.0,5.9729999537766
TUN,PIGE,median,,,tonnes carbon per km2,,
TKM,PIGE,median,,,tonnes carbon per km2,,
STP,PIGE,median,,,tonnes carbon per km2,,
SAU,PIGE,median,,,tonnes carbon per km2,,
SEN,PIGE,median,,,tonnes carbon per km2,,
SVK,PIGE,median,,,tonnes carbon per km2,,
SVN,PIGE,median,,,tonnes carbon per km2,,
SLB,PIGE,median,,,tonnes carbon per km2,,
SOM,PIGE,median,,,tonnes carbon per km2,,
ZAF,PIGE,median,,,tonnes carbon per km2,,
SSD,PIGE,median,,,tonnes carbon per km2,,
ESP,PIGE,median,,,tonnes carbon per km2,,
LKA,PIGE,median,,,tonnes carbon per km2,,
KNA,PIGE,median,,,tonnes carbon per km2,,
LCA,PIGE,median,,,tonnes carbon per km2,,
VCT,PIGE,median,,,tonnes carbon per km2,,
SDN,PIGE,median,,,tonnes carbon per km2,,
SUR,PIGE,median,,,tonnes carbon per km2,,
SWZ,PIGE,median,,,tonnes carbon per km2,,
SWE,PIGE,median,,,tonnes carbon per km2,,
CHE,PIGE,median,,,tonnes carbon per km2,,
SYR,PIGE,median,,,tonnes carbon per km2,,
TWN,PIGE,median,,,tonnes carbon per km2,,
TJK,PIGE,median,,,tonnes carbon per km2,,
TZA,PIGE,median,0.35383639641986164,0.01119599523696118,tonnes carbon per km2,7053.0,1466.9650004725904
THA,PIGE,median,0.014770221710205079,0.0,tonnes carbon per km2,1.0,0.004000000059604645
TLS,PIGE,median,,,tonnes carbon per km2,,
TGO,PIGE,median,,,tonnes carbon per km2,,
TUV,PIGE,median,,,tonnes carbon per km2,,
UGA,PIGE,median,0.11840617306806159,0.01594867837555007,tonnes carbon per km2,698.0,269.7449999831617
URY,PIGE,median,,,tonnes carbon per km2,,
UZB,PIGE,median,,,tonnes carbon per km2,,
VUT,PIGE,median,,,tonnes carbon per km2,,
VAT,PIGE,median,,,tonnes carbon per km2,,
VEN,PIGE,median,0.3252493015084477,0.023162849401233098,tonnes carbon per km2,3664.0,26.509000070095063
VNM,PIGE,median,,,tonnes carbon per km2,,
ZMB,PIGE,median,0.2900305192023149,0.10751624764760609,tonnes carbon per km2,11.0,0.07699999928474426
ZWE,PIGE,median,,,tonnes carbon per km2,,
YEM,PIGE,median,,,tonnes carbon per km2,,
UKR,PIGE,median,,,tonnes carbon per km2,,
BHR,PIGE,median,,,tonnes carbon per km2,,
KWT,PIGE,median,,,tonnes carbon per km2,,
QAT,PIGE,median,,,tonnes carbon per km2,,
ARE,PIGE,median,,,tonnes carbon per km2,,
TUR,PIGE,median,,,tonnes carbon per km2,,
ISR,PIGE,median,,,tonnes carbon per km2,,
BGD,PIGE,median,0.14762397618587275,0.005539235934600066,tonnes carbon per km2,1127.0,4.309000011533499
MMR,PIGE,median,0.1110321784751807,0.0015450051467778114,tonnes carbon per km2,6217.0,4295.7759966640915
IND,PIGE,median,0.14010457346997063,0.002206629123134179,tonnes carbon per km2,31761.0,44816.07099958652
BEN,PIGE,median,,,tonnes carbon per km2,,
NER,PIGE,median,,,tonnes carbon per km2,,
NGA,PIGE,median,,,tonnes carbon per km2,,
111,PIGE,median,,,tonnes carbon per km2,,
112,PIGE,median,,,tonnes carbon per km2,,
113,PIGE,median,0.0,,tonnes carbon per km2,6.0,0.0
