ISO3,item_name,band_name,deltaE_mean,deltaE_mean_sem,unit,pixel_count,physical_area_km2,sp_count
AFG,CASS,all,,,deltaE per km2 per sp.,,,31076
GBR,CASS,all,,,deltaE per km2 per sp.,,,31076
ALB,CASS,all,,,deltaE per km2 per sp.,,,31076
DZA,CASS,all,,,deltaE per km2 per sp.,,,31076
USA,CASS,all,-8.53E-08,1.62E-08,deltaE per km2 per sp.,19,0.42,31076
ATA,CASS,all,,,deltaE per km2 per sp.,,,31076
ATG,CASS,all,-1.90E-07,1.06E-07,deltaE per km2 per sp.,6,0.209000006,31076
ARG,CASS,all,-5.71E-09,1.50E-10,deltaE per km2 per sp.,1854,181.1979999,31076
AND,CASS,all,,,deltaE per km2 per sp.,,,31076
AGO,CASS,all,-2.00E-09,7.59E-11,deltaE per km2 per sp.,7277,9341.890001,31076
ARM,CASS,all,,,deltaE per km2 per sp.,,,31076
NLD,CASS,all,,,deltaE per km2 per sp.,,,31076
AUS,CASS,all,,,deltaE per km2 per sp.,,,31076
AUT,CASS,all,,,deltaE per km2 per sp.,,,31076
AZE,CASS,all,,,deltaE per km2 per sp.,,,31076
BHS,CASS,all,-3.91E-09,4.06E-09,deltaE per km2 per sp.,10,0.378000002,31076
BRB,CASS,all,-1.74E-07,2.54E-08,deltaE per km2 per sp.,6,0.214,31076
BLR,CASS,all,,,deltaE per km2 per sp.,,,31076
BEL,CASS,all,,,deltaE per km2 per sp.,,,31076
BLZ,CASS,all,-5.98E-09,1.46E-10,deltaE per km2 per sp.,35,0.225000001,31076
BTN,CASS,all,,,deltaE per km2 per sp.,,,31076
BOL,CASS,all,-4.71E-09,2.83E-10,deltaE per km2 per sp.,3707,280.0839994,31076
BIH,CASS,all,,,deltaE per km2 per sp.,,,31076
BWA,CASS,all,,,deltaE per km2 per sp.,,,31076
NOR,CASS,all,,,deltaE per km2 per sp.,,,31076
COL,CASS,all,-1.28E-08,1.03E-09,deltaE per km2 per sp.,4671,1878.831001,31076
COM,CASS,all,,,deltaE per km2 per sp.,,,31076
BRA,CASS,all,-5.06E-09,1.38E-10,deltaE per km2 per sp.,48801,17215.11599,31076
FRA,CASS,all,-1.08E-08,1.15E-08,deltaE per km2 per sp.,79,40.77499991,31076
COD,CASS,all,-2.75E-09,9.47E-11,deltaE per km2 per sp.,9858,18489.69699,31076
COG,CASS,all,-4.70E-09,3.22E-10,deltaE per km2 per sp.,1602,1190.285,31076
NZL,CASS,all,,,deltaE per km2 per sp.,,,31076
BRN,CASS,all,-5.68E-09,7.89E-10,deltaE per km2 per sp.,37,1.667000007,31076
BGR,CASS,all,,,deltaE per km2 per sp.,,,31076
BFA,CASS,all,-9.76E-10,3.96E-12,deltaE per km2 per sp.,2047,27.96799994,31076
BDI,CASS,all,-5.75E-09,8.63E-10,deltaE per km2 per sp.,183,1264.576002,31076
CPV,CASS,all,-2.29E-08,4.73E-09,deltaE per km2 per sp.,42,3.383000045,31076
KHM,CASS,all,-2.11E-09,1.47E-10,deltaE per km2 per sp.,1364,2446.502997,31076
CMR,CASS,all,-1.18E-08,5.37E-10,deltaE per km2 per sp.,3485,2611.345002,31076
CAN,CASS,all,,,deltaE per km2 per sp.,,,31076
CRI,CASS,all,-2.69E-08,3.35E-09,deltaE per km2 per sp.,155,123.7119994,31076
CIV,CASS,all,-6.51E-09,2.15E-10,deltaE per km2 per sp.,3351,3466.561998,31076
HRV,CASS,all,,,deltaE per km2 per sp.,,,31076
CUB,CASS,all,-2.78E-08,1.77E-09,deltaE per km2 per sp.,1199,708.9580001,31076
CAF,CASS,all,-1.09E-09,1.66E-11,deltaE per km2 per sp.,2080,2337.187998,31076
TCD,CASS,all,-1.04E-09,7.66E-12,deltaE per km2 per sp.,2044,430.6899995,31076
CHL,CASS,all,,,deltaE per km2 per sp.,,,31076
CHN,CASS,all,-7.50E-09,1.01E-09,deltaE per km2 per sp.,1777,2766.660998,31076
CYP,CASS,all,,,deltaE per km2 per sp.,,,31076
CZE,CASS,all,,,deltaE per km2 per sp.,,,31076
DNK,CASS,all,,,deltaE per km2 per sp.,,,31076
DJI,CASS,all,,,deltaE per km2 per sp.,,,31076
DMA,CASS,all,-1.87E-07,1.19E-08,deltaE per km2 per sp.,9,1.078000002,31076
