ISO3,item_name,band_name,deltaE_mean,deltaE_mean_sem,unit,pixel_count,physical_area_km2,sp_count
AFG,COWP,all,0.0,,deltaE per km2 per sp.,7087,0.0,30997
GBR,COWP,all,0.0,,deltaE per km2 per sp.,2655,0.0,30997
ALB,COWP,all,0.0,,deltaE per km2 per sp.,386,0.0,30997
DZA,COWP,all,0.0,,deltaE per km2 per sp.,2457,0.0,30997
USA,COWP,all,-1.2198645960155795e-09,4.877435866781157e-10,deltaE per km2 per sp.,66601,95.45700014650822,30997
ATA,COWP,all,,,deltaE per km2 per sp.,,,30997
ATG,COWP,all,0.0,,deltaE per km2 per sp.,4,0.0,30997
ARG,COWP,all,0.0,,deltaE per km2 per sp.,14156,0.0,30997
AND,COWP,all,0.0,,deltaE per km2 per sp.,1,0.0,30997
AGO,COWP,all,-9.558505136652592e-10,3.064516072675427e-09,deltaE per km2 per sp.,11859,1.4439999985694885,30997
ARM,COWP,all,0.0,,deltaE per km2 per sp.,436,0.0,30997
NLD,COWP,all,0.0,,deltaE per km2 per sp.,648,0.0,30997
AUS,COWP,all,0.0,,deltaE per km2 per sp.,10484,0.0,30997
AUT,COWP,all,0.0,,deltaE per km2 per sp.,912,0.0,30997
AZE,COWP,all,0.0,,deltaE per km2 per sp.,968,0.0,30997
BHS,COWP,all,,,deltaE per km2 per sp.,,,30997
BRB,COWP,all,0.0,,deltaE per km2 per sp.,6,0.0,30997
BLR,COWP,all,0.0,,deltaE per km2 per sp.,2722,0.0,30997
BEL,COWP,all,0.0,,deltaE per km2 per sp.,439,0.0,30997
BLZ,COWP,all,0.0,,deltaE per km2 per sp.,131,0.0,30997
BTN,COWP,all,0.0,,deltaE per km2 per sp.,274,0.0,30997
BOL,COWP,all,0.0,,deltaE per km2 per sp.,6600,0.0,30997
BIH,COWP,all,-8.623231590757647e-10,1.1686500794774823e-10,deltaE per km2 per sp.,404,15.673999984785917,30997
BWA,COWP,all,0.0,,deltaE per km2 per sp.,559,0.0,30997
NOR,COWP,all,0.0,,deltaE per km2 per sp.,794,0.0,30997
COL,COWP,all,-3.668924838845535e-09,1.2250747022680941e-07,deltaE per km2 per sp.,5157,0.026000000014901162,30997
COM,COWP,all,,,deltaE per km2 per sp.,,,30997
BRA,COWP,all,-3.125379955004522e-10,4.7229119694956977e-08,deltaE per km2 per sp.,56002,0.007000000029802323,30997
FRA,COWP,all,0.0,,deltaE per km2 per sp.,8909,0.0,30997
COD,COWP,all,-2.75085938387876e-09,3.796976086141859e-10,deltaE per km2 per sp.,16168,1277.2370004212855,30997
COG,COWP,all,-6.741434393765017e-09,2.6742459569777762e-09,deltaE per km2 per sp.,2056,0.7940000022947789,30997
NZL,COWP,all,0.0,,deltaE per km2 per sp.,2390,0.0,30997
BRN,COWP,all,0.0,,deltaE per km2 per sp.,40,0.0,30997
BGR,COWP,all,-9.735172238338975e-10,3.7026389265322584e-10,deltaE per km2 per sp.,1296,0.27600000381469725,30997
BFA,COWP,all,-7.376174433554642e-10,1.3903453307324032e-11,deltaE per km2 per sp.,1720,8219.669009007737,30997
BDI,COWP,all,0.0,,deltaE per km2 per sp.,295,0.0,30997
CPV,COWP,all,0.0,,deltaE per km2 per sp.,39,0.0,30997
KHM,COWP,all,0.0,,deltaE per km2 per sp.,1146,0.0,30997
CMR,COWP,all,-5.9598060425025444e-09,1.4358413164547616e-09,deltaE per km2 per sp.,4136,1021.8200006914884,30997
CAN,COWP,all,0.0,,deltaE per km2 per sp.,10860,0.0,30997
CRI,COWP,all,0.0,,deltaE per km2 per sp.,468,0.0,30997
CIV,COWP,all,0.0,,deltaE per km2 per sp.,3191,0.0,30997
HRV,COWP,all,-4.551150051335151e-10,1.9539074922664792e-10,deltaE per km2 per sp.,720,0.8350000134110451,30997
CUB,COWP,all,0.0,,deltaE per km2 per sp.,1143,0.0,30997
CAF,COWP,all,-4.915850221564926e-10,8.554739355352376e-10,deltaE per km2 per sp.,3258,0.16800000190734865,30997
TCD,COWP,all,-7.501247497120902e-10,1.4030020535528532e-10,deltaE per km2 per sp.,2250,3.678999972343445,30997
CHL,COWP,all,0.0,,deltaE per km2 per sp.,3269,0.0,30997
CHN,COWP,all,-3.775372629877384e-09,2.2913238465570357e-08,deltaE per km2 per sp.,66941,0.3610000038146972,30997
CYP,COWP,all,-9.578707067544194e-09,2.6049831942185386e-09,deltaE per km2 per sp.,110,0.7900000008940699,30997
CZE,COWP,all,0.0,,deltaE per km2 per sp.,1015,0.0,30997
DNK,COWP,all,0.0,,deltaE per km2 per sp.,825,0.0,30997
DJI,COWP,all,0.0,,deltaE per km2 per sp.,23,0.0,30997
DMA,COWP,all,0.0,,deltaE per km2 per sp.,11,0.0,30997
DOM,COWP,all,0.0,,deltaE per km2 per sp.,562,0.0,30997
ECU,COWP,all,-1.0472525069360472e-09,1.1289412601141251e-07,deltaE per km2 per sp.,1972,0.01,30997
EGY,COWP,all,-9.87476145006725e-10,9.280392644984998e-11,deltaE per km2 per sp.,1112,21.112999955639243,30997
SLV,COWP,all,0.0,,deltaE per km2 per sp.,248,0.0,30997
GNQ,COWP,all,0.0,,deltaE per km2 per sp.,206,0.0,30997
ERI,COWP,all,0.0,,deltaE per km2 per sp.,272,0.0,30997
EST,COWP,all,0.0,,deltaE per km2 per sp.,371,0.0,30997
ETH,COWP,all,0.0,,deltaE per km2 per sp.,3864,0.0,30997
FJI,COWP,all,0.0,,deltaE per km2 per sp.,77,0.0,30997
FIN,COWP,all,0.0,,deltaE per km2 per sp.,2027,0.0,30997
GAB,COWP,all,-6.409889336122204e-09,6.130239462902881e-09,deltaE per km2 per sp.,693,0.28600000381469726,30997
GMB,COWP,all,-1.1779293464194785e-09,8.033039304458274e-10,deltaE per km2 per sp.,87,0.17299999713897707,30997
MAR,COWP,all,0.0,,deltaE per km2 per sp.,2994,0.0,30997
MOZ,COWP,all,-2.5482438028598958e-09,2.0660041687719588e-10,deltaE per km2 per sp.,7277,3605.322001925483,30997
NAM,COWP,all,0.0,,deltaE per km2 per sp.,809,0.0,30997
GEO,COWP,all,0.0,,deltaE per km2 per sp.,865,0.0,30997
DEU,COWP,all,0.0,,deltaE per km2 per sp.,5430,0.0,30997
GHA,COWP,all,0.0,,deltaE per km2 per sp.,2635,0.0,30997
GRC,COWP,all,0.0,,deltaE per km2 per sp.,1857,0.0,30997
GRL,COWP,all,,,deltaE per km2 per sp.,,,30997
GRD,COWP,all,0.0,,deltaE per km2 per sp.,5,0.0,30997
NRU,COWP,all,,,deltaE per km2 per sp.,,,30997
GTM,COWP,all,0.0,,deltaE per km2 per sp.,1240,0.0,30997
NPL,COWP,all,0.0,,deltaE per km2 per sp.,1570,0.0,30997
GIN,COWP,all,-1.4470465750205929e-09,1.060580792550944e-08,deltaE per km2 per sp.,1383,2.100000038146973,30997
GNB,COWP,all,-1.4363830982218823e-09,1.1388550698935746e-09,deltaE per km2 per sp.,386,0.6620000076293945,30997
GUY,COWP,all,-3.350577824973108e-09,1.1467318409967648e-09,deltaE per km2 per sp.,545,0.36500000633299357,30997
HTI,COWP,all,-9.797436202216361e-08,1.188368289130455e-08,deltaE per km2 per sp.,315,404.3590001487732,30997
JOR,COWP,all,0.0,,deltaE per km2 per sp.,218,0.0,30997
HND,COWP,all,0.0,,deltaE per km2 per sp.,1164,0.0,30997
HUN,COWP,all,-3.071517762354148e-10,1.4180436406297065e-10,deltaE per km2 per sp.,1335,0.03,30997
ISL,COWP,all,,,deltaE per km2 per sp.,,,30997
IDN,COWP,all,0.0,,deltaE per km2 per sp.,13149,0.0,30997
IRN,COWP,all,0.0,,deltaE per km2 per sp.,15339,0.0,30997
IRQ,COWP,all,-4.914445117635912e-10,3.136629042661841e-11,deltaE per km2 per sp.,2871,3.973000051379204,30997
IRL,COWP,all,0.0,,deltaE per km2 per sp.,304,0.0,30997
KAZ,COWP,all,0.0,,deltaE per km2 per sp.,14586,0.0,30997
KEN,COWP,all,-3.759635245120142e-09,1.365654199371396e-09,deltaE per km2 per sp.,1794,1197.124996186346,30997
KIR,COWP,all,,,deltaE per km2 per sp.,,,30997
PRK,COWP,all,0.0,,deltaE per km2 per sp.,1612,0.0,30997
KOR,COWP,all,0.0,,deltaE per km2 per sp.,1019,0.0,30997
XKX,COWP,all,,,deltaE per km2 per sp.,,,30997
SRB,COWP,all,-2.256413083693061e-10,2.780792674226121e-11,deltaE per km2 per sp.,833,15.878999923020602,30997
SYC,COWP,all,,,deltaE per km2 per sp.,,,30997
SLE,COWP,all,0.0,,deltaE per km2 per sp.,819,0.0,30997
SGP,COWP,all,0.0,,deltaE per km2 per sp.,1,0.0,30997
ITA,COWP,all,0.0,,deltaE per km2 per sp.,3763,0.0,30997
JAM,COWP,all,-6.670826329306943e-08,4.3437029802349795e-08,deltaE per km2 per sp.,86,1.981999991312623,30997
JPN,COWP,all,0.0,,deltaE per km2 per sp.,2992,0.0,30997
KGZ,COWP,all,0.0,,deltaE per km2 per sp.,2276,0.0,30997
LAO,COWP,all,2.927820772799528e-22,2.249409538448134e-08,deltaE per km2 per sp.,1858,0.07699999809265137,30997
LVA,COWP,all,0.0,,deltaE per km2 per sp.,631,0.0,30997
