,livestock,fcr,item_name,production,rum_feed_req,pasture_produced,g_rat,eff_yield_tonnes_km2,fp_m2_kg,fp_m2_kg_err,fp_m2_kg_perc,Country_ISO
0,bvmeat,25,Beef and Buffalo Meat,52745.0,1318625.0,49314.30925364363,0.6591799059619158,0.618277758677686,1617.3960424174168,16.520903985466088,0.010214507487463224,ZWE
1,bvmilk,0.7,"Milk, Total",426789.0,298752.3,399029.38159168285,0.14934610903016857,22.081348524203072,45.28708918768766,0.46258531159305044,0.010214507487463224,ZWE
2,sgmeat,15,Sheep and Goat Meat,25535.0,383025.0,23874.128102982086,0.19147398500791565,1.0304629311294766,970.4376254504501,17.00833092082113,0.017526454534289453,ZWE
3,other,15,"Meat, nes",,,,,,,,,ZWE
4,bvmeat,25,Beef and Buffalo Meat,198990.0,4974750.0,175971.61417893664,0.9165571932241298,0.9599598119999999,1041.710275263065,15.463520229364747,0.014844357972239179,ZMB
5,bvmilk,0.7,"Milk, Total",389126.0,272388.2,344113.42448863207,0.05018530862040764,34.28427899999999,29.167887707365825,0.43297856642221305,0.014844357972239179,ZMB
6,sgmeat,15,Sheep and Goat Meat,12034.0,180510.0,10641.953892302747,0.03325749815546262,1.59993302,625.0261651578389,10.103513670404888,0.016164945139302177,ZMB
7,other,15,"Meat, nes",,,,,,,,,ZMB
8,bvmeat,25,Beef and Buffalo Meat,90164.0,2254100.0,88102.09871293833,0.5085793920724293,0.787417050909091,1269.9750390793256,41.107118033487275,0.03236844565330046,YEM
9,bvmilk,0.7,"Milk, Total",327071.0,228949.69999999998,319591.42815468984,0.05165658100402159,28.122037532467534,35.55930109422111,1.1509993049376437,0.03236844565330046,YEM
10,sgmeat,15,Sheep and Goat Meat,129940.0,1949100.0,126968.48749788394,0.43976402692354905,1.3123617515151518,761.9850234475952,12.24957941410487,0.016075879495218614,YEM
11,other,15,"Meat, nes",,,,,,,,,YEM
12,bvmeat,25,Beef and Buffalo Meat,470343.0,11758575.0,454983.145716533,0.9163638630168947,77.33789133956387,12.93027237592174,0.3234430995697915,0.025014407289060275,VNM
13,bvmilk,0.7,"Milk, Total",1076243.0,753370.1,1041096.4459881377,0.058711292407236784,2762.0675478415665,0.3620476265258088,0.009056406787954163,0.025014407289060275,VNM
14,sgmeat,15,Sheep and Goat Meat,21322.0,319830.0,20625.693659665216,0.024924844575868542,128.89648556593977,7.758163425553046,,,VNM
15,other,15,"Meat, nes",,,,,,,,,VNM
16,bvmeat,25,Beef and Buffalo Meat,408573.0,10214325.0,356832.8822857623,0.8593004693975057,2.2816468769230775,438.2799153164986,8.616766272523732,0.01966041785487988,VEN
17,bvmilk,0.7,"Milk, Total",2171587.0,1520110.9,1896585.551038105,0.1278823622614578,81.48738846153847,12.271837628861963,0.24126945563066454,0.01966041785487988,VEN
18,sgmeat,15,Sheep and Goat Meat,10157.0,152355.0,8870.75647528468,0.012817168341036436,3.802744794871795,262.96794918989923,8.475953884317297,0.032231889515160976,VEN
19,other,15,"Meat, nes",,,,,,,,,VEN
20,bvmeat,25,Beef and Buffalo Meat,1743.0,43575.0,0.0,0.9532236788855759,,,,0.025055706857903173,VUT
21,bvmilk,0.7,"Milk, Total",2369.0,1658.3,0.0,0.03627609470329204,,,,0.025055706857903173,VUT
22,sgmeat,15,Sheep and Goat Meat,32.0,480.0,0.0,0.01050022641113199,,,,0.10394545787188972,VUT
23,other,15,"Meat, nes",,,,,,,,,VUT
24,bvmeat,25,Beef and Buffalo Meat,961772.0,24044300.0,710553.4748009497,0.7020583150438094,4.764103133546411,209.90309654686197,4.467426389140325,0.02128328005939135,UZB
25,bvmilk,0.7,"Milk, Total",10930078.0,7651054.6,8075099.818611287,0.22339957914283998,170.1465404838004,5.8772867033121345,0.1250879388959291,0.02128328005939135,UZB
26,sgmeat,15,Sheep and Goat Meat,170196.0,2552940.0,125740.15379655722,0.07454210581335048,7.940171889244017,125.94185792811722,2.1929174012572417,0.01741214110489679,UZB
27,other,15,"Meat, nes",,,,,,,,,UZB
28,bvmeat,25,Beef and Buffalo Meat,506791.0,12669775.0,456871.043546939,0.8697073557818376,4.377631936666667,228.434005980285,1.1046789320617205,0.004835877772756215,URY
29,bvmilk,0.7,"Milk, Total",2205000.0,1543500.0,1987802.9622092745,0.10595241854328638,156.34399773809525,6.396152167447979,0.030931010097728168,0.004835877772756215,URY
30,sgmeat,15,Sheep and Goat Meat,23639.0,354585.0,21310.509852002284,0.02434022567487606,7.296053227777778,137.060403588171,1.7183478928986926,0.01253715769042865,URY
31,other,15,"Meat, nes",,,,,,,,,URY
32,bvmeat,25,Beef and Buffalo Meat,5735.0,143375.0,5735.0,0.3753690856624325,14.876627069133399,67.21953809508598,7.133210780744774,0.1061181165906619,PRI
33,bvmilk,0.7,"Milk, Total",340232.0,238162.4,340232.0,0.6235313152723314,531.3081096119071,1.8821470666624078,0.1997299018608537,0.1061181165906619,PRI
34,sgmeat,15,Sheep and Goat Meat,28.0,420.0,28.0,0.0010995990652360708,24.794378448555666,40.331722857051595,6.935500926268829,0.17196143469621772,PRI
35,other,15,"Meat, nes",,,,,,,,,PRI
36,bvmeat,25,Beef and Buffalo Meat,12357232.0,308930800.0,11161784.842154432,0.810977266823037,5.609152058016125,178.28006615917724,0.8151065350115105,0.004572056498362207,USA
37,bvmilk,0.7,"Milk, Total",101276991.0,70893893.69999999,91479384.94662969,0.18610425424486293,200.32685921486163,4.991841852456963,0.022822982980322294,0.004572056498362207,USA
38,sgmeat,15,Sheep and Goat Meat,74117.0,1111755.0,66946.87023323347,0.0029184789321001514,9.34858676336021,106.96803969550633,0.6831693907760735,0.00638666832374206,USA
39,other,15,"Meat, nes",,,,,,,,,USA
40,bvmeat,25,Beef and Buffalo Meat,932000.0,23300000.0,743379.163901156,0.6031487991385068,10.969471511437378,91.16209463303174,1.248347741553511,0.013693714987338429,GBR
41,bvmilk,0.7,"Milk, Total",15558000.0,10890600.0,12409327.287525952,0.28191640823595804,391.76683969419213,2.5525386497248888,0.034953736763498305,0.013693714987338429,GBR
42,sgmeat,15,Sheep and Goat Meat,296000.0,4440000.0,236094.6700801955,0.1149347926255352,18.2824525190623,54.697256779819035,0.8383822702409022,0.015327684048502953,GBR
43,other,15,"Meat, nes",,,,,,,,,GBR
44,bvmeat,25,Beef and Buffalo Meat,18086.0,452150.0,2334.037791437307,0.29275816718560044,2.657526533333333,376.2897519392595,19.258936569394976,0.05118113493695078,ARE
45,bvmilk,0.7,"Milk, Total",164934.0,115453.79999999999,21285.09283937415,0.07475404817563391,94.9116619047619,10.536113054299266,0.5392502239430593,0.05118113493695078,ARE
46,sgmeat,15,Sheep and Goat Meat,65123.0,976845.0,8404.265348433693,0.6324877846387656,4.429210888888889,225.77385116355563,13.433587436005164,0.05950019174839504,ARE
47,other,15,"Meat, nes",,,,,,,,,ARE
48,bvmeat,25,Beef and Buffalo Meat,345400.0,8635000.0,0.0,0.5646663894406456,,,,0.0045721801986330236,UKR
49,bvmilk,0.7,"Milk, Total",9263879.0,6484715.3,0.0,0.4240533613203837,,,,0.0045721801986330236,UKR
50,sgmeat,15,Sheep and Goat Meat,11500.0,172500.0,0.0,0.011280249238970627,,,,0.01981091234172393,UKR
51,other,15,"Meat, nes",,,,,,,,,UKR
52,bvmeat,25,Beef and Buffalo Meat,163889.0,4097225.0,163889.0,0.6814233538450956,4.525113979303858,220.9889086934866,4.830724973344654,0.02185958110705415,UGA
53,bvmilk,0.7,"Milk, Total",1766386.0,1236470.2,1766386.0,0.20564154290123585,161.61121354656632,6.187689443417627,0.13526029925365035,0.02185958110705415,UGA
54,sgmeat,15,Sheep and Goat Meat,45270.0,679050.0,45270.0,0.11293510325366855,7.541856632173095,132.593345216092,5.200464155616255,0.039221155082412903,UGA
55,other,15,"Meat, nes",,,,,,,,,UGA
56,bvmeat,25,Beef and Buffalo Meat,144416.0,3610400.0,93496.49568990173,0.522278519023305,0.562273209372448,1778.4948372626502,42.558106461449206,0.023929283104893364,TKM
57,bvmilk,0.7,"Milk, Total",1792931.0,1255051.7,1160763.1115235928,0.18155510280680293,20.081186049016,49.79785544335421,1.191626980920578,0.023929283104893364,TKM
58,sgmeat,15,Sheep and Goat Meat,136489.0,2047335.0,88364.46931239612,0.29616637816989205,0.9371220156207467,1067.09690235759,9.04720685117761,0.008478336720113392,TKM
59,other,15,"Meat, nes",,,,,,,,,TKM
60,bvmeat,25,Beef and Buffalo Meat,962010.0,24050250.0,508502.3132448744,0.5867483012355543,5.929019040842857,168.6619646709453,1.5775884391115724,0.009353551894106076,TUR
