Group,Baseline,No-ruminant,EAT-Lancet,Vegetarian,Plant-based
Cals,3381,3227,2500,3083,3500
Ruminant meat,0.024023,0,0.005238621,0,0
Pig meat,0.033112,0.0451235,0.007857932,0,0
Poultry meat,0.047318,0.0593295,0.027066211,0,0
Dairy,0.281823,0.281823,0.066792423,0.15,0
Eggs,0.015873,0.015873,0.008294484,0.04,0
Rice,0.157807,0.157807,0.02,0.22,0.22
Grains,0.157807,0.157807,0.354043498,0.22,0.22
Roots and tubers,0.117311,0.117311,0.01702552,0.12,0.12
Vegetables,0.148132,0.148132,0.034051039,0.24,0.24
Bananas,0.137773,0.137773,0.006875691,0.1,0.1
Fruit,0.137773,0.137773,0.05,0.1,0.1
Legumes and pulses,0.028357,0.028357,0.123980707,0.13,0.13
Sugar,0.078713568,0.078713568,0.026193107,0.078713568,0.078713568
Spices,0.001082,0.001082,0.001082,0.001082,0.001082
Stimulants,0.007391,0.007391,0.007391,0.007391,0.007391
Scalar,1.078715568,1.078715568,1.078715568,100,0.897186568
Soybeans,0.028357,0.028357,0.028357,0.13,0.13
Temperate fruit,0.137773,0.137773,0.041254144,0.1,0.1
Tropical fruit,0.137773,0.137773,0.011001105,0.1,0.1
Tropical nuts,0.137773,0.137773,0.031747484,0.1,0.1
Temperate nuts,0.137773,0.137773,0.020302142,0.1,0.1
Coffee,1,1,1,1,1
Tea and maté,1,1,1,1,1
Cocoa,1,1,1,1,1
Oilcrops,1,1,1,1,1
Other,1,1,1,1,1
