Group,Baseline,No-ruminant,EAT-Lancet,Vegetarian,Plant-based
Cals,3668,3227,2500,2800,2699
Grains,0.283493134,0.283493134,0.354043498,0.32666825,0.32666825
Rice,0.020248037,0.020248037,0,0.02333175,0.02333175
Roots and tubers,0.023729215,0.023729215,0.01702552,0.040653004,0.040653004
Legumes and pulses,0.022123905,0.022123905,0.123980707,0.037902779,0.037902779
Tropical nuts,0.01052599,0.01052599,0.031747484,0.018033177,0.018033177
Temperate nuts,0.018902978,0.018902978,0.020302142,0.032384672,0.032384672
Soybeans,0.086016795,0.086016795,0,0.147364382,0.147364382
Tropical fruit,0.008420792,0.008420792,0.011001105,0.035691468,0.035691468
Oilcrops,0.000350437,0.000350437,0.192082785,0.000350437,0.000350437
Vegetables,0.025471093,0.025471093,0.034051039,0.107959044,0.107959044
Bananas,0.005158637,0.005158637,0.006875691,0.021864846,0.021864846
Temperate fruit,0.031593431,0.031593431,0.041254144,0.133908532,0.133908532
Coffee,0.000553999,0.000553999,0,0.000553999,0.000553999
Cocoa,0.011520613,0.011520613,0,0.011520613,0.011520613
Tea and maté,2.58E-05,2.58E-05,0.00E+00,2.58E-05,2.58E-05
Spices,0.001381134,0.001381134,0,0.001381134,0.001381134
Sugar beet,0,0,0.026193107,0,0
Sugar cane,0,0,0.026193107,0,0
Other,0.000177795,0.000177795,0,0.000177795,0.000177795
Ruminant meat,0.03336623,0,0.005238621,0,0
Dairy,0.114291383,0.114291383,0.066792423,0.15,0
Pig meat,0.042913058,0.057520871,0.007857932,0,0
Poultry meat,0.0551062,0.073864618,0.027066211,0,0
Eggs,0.014192694,0.014192694,0.008294484,0.024314991,0
